bus,total_existing_mw,zones
BE00,5760.0,BEOH001 (5760 MW)
DE00,30521.3,DEOH001 (18868 MW); DEOH002 (4105 MW); DEOR001 (7549 MW)
DKE1,5528.2,BEIOH01 (3000 MW); DKEOR01 (2528 MW)
DKW1,2722.4,DKWOR01 (2722 MW)
ES00,2800.0,ESOH001 (1400 MW); ESOH002 (500 MW); ESOH003 (900 MW)
FI00,1000.0,FIOH001 (1000 MW)
FR00,3875.0,FROH001 (2050 MW); FROH002 (1740 MW); FROH003 (85 MW)
GB00,51967.47,GBOH003 (12723 MW); GBOH004 (11013 MW); GBOH005 (300 MW); GBOH006 (10398 MW); GBOR001 (17534 MW)
GBNI,500.0,GBNIOR1 (500 MW)
GR00,2700.0,GROR001 (2700 MW)
HR00,510.0,HROH001 (510 MW)
IE00,5025.2,IEOH001 (5025 MW)
ITCN,400.0,ITCNOR1 (400 MW)
ITCS,900.0,ITCSOR1 (900 MW)
ITN1,600.0,ITN1OR1 (600 MW)
ITS1,3800.0,ITS1OR1 (3800 MW)
ITSA,1400.0,ITSAOR1 (1400 MW)
ITSI,1400.0,ITSIOR1 (1400 MW)
LT00,1400.0,LTOR001 (1400 MW)
LV00,500.0,LVOH001 (500 MW)
NL00,16300.0,NLOH001 (2000 MW); NLOR001 (14300 MW)
NOS0,3003.5,NOSOH01 (1504 MW); NOSOR01 (1500 MW)
PL00,10004.0,PLOH001 (10004 MW)
PT00,2000.0,PTOH001 (2000 MW)
RO00,1000.0,ROOR001 (1000 MW)
SE04,600.0,SEOH003 (600 MW)
